datetime,year,month,day,hour,minute,chamber,rs,rsgf,tsoil,tsoilgf
2023-10-05T18:25:00,2023,10,5,18,25,6,0.877545013,0.877545013,16.98033333,16.98033333
2023-10-05T18:30:00,2023,10,5,18,30,1,1.242001745,1.242001745,16.97166667,16.97166667
2023-10-05T18:35:00,2023,10,5,18,35,2,0.726599688,0.726599688,16.96433333,16.96433333
2023-10-05T18:40:00,2023,10,5,18,40,3,1.27061091,1.27061091,16.954,16.954
2023-10-05T18:45:00,2023,10,5,18,45,4,0.612969953,0.612969953,16.94433333,16.94433333
2023-10-05T18:50:00,2023,10,5,18,50,5,0.717888625,0.717888625,16.93533333,16.93533333
2023-10-05T18:55:00,2023,10,5,18,55,6,0.975327989,0.975327989,16.92466667,16.92466667
2023-10-05T19:00:00,2023,10,5,19,0,1,1.074460593,1.074460593,16.91433333,16.91433333
2023-10-05T19:05:00,2023,10,5,19,5,2,0.748922567,0.748922567,16.905,16.905
2023-10-05T19:10:00,2023,10,5,19,10,3,1.219783842,1.219783842,16.89366667,16.89366667
2023-10-05T19:15:00,2023,10,5,19,15,4,0.55651319,0.55651319,16.88433333,16.88433333
2023-10-05T19:20:00,2023,10,5,19,20,5,0.694158825,0.694158825,16.87433333,16.87433333
2023-10-05T19:25:00,2023,10,5,19,25,6,0.865949857,0.865949857,16.86433333,16.86433333
2023-10-05T19:30:00,2023,10,5,19,30,1,1.011911524,1.011911524,16.85166667,16.85166667
2023-10-05T19:35:00,2023,10,5,19,35,2,0.681939557,0.681939557,16.842,16.842
2023-10-05T19:40:00,2023,10,5,19,40,3,1.252575357,1.252575357,16.83466667,16.83466667
2023-10-05T19:45:00,2023,10,5,19,45,4,0.548114928,0.548114928,16.82333333,16.82333333
2023-10-05T19:50:00,2023,10,5,19,50,5,0.655970799,0.655970799,16.81566667,16.81566667
2023-10-05T19:55:00,2023,10,5,19,55,6,1.009454584,1.009454584,16.80266667,16.80266667
2023-10-05T20:00:00,2023,10,5,20,0,1,1.173818058,1.173818058,16.795,16.795
2023-10-05T20:05:00,2023,10,5,20,5,2,0.716645704,0.716645704,16.78233333,16.78233333
2023-10-05T20:10:00,2023,10,5,20,10,3,1.199074299,1.199074299,16.77466667,16.77466667
2023-10-05T20:15:00,2023,10,5,20,15,4,0.48225438,0.48225438,16.762,16.762
2023-10-05T20:20:00,2023,10,5,20,20,5,0.671669788,0.671669788,16.75033333,16.75033333
2023-10-05T20:25:00,2023,10,5,20,25,6,0.905530483,0.905530483,16.743,16.743
2023-10-05T20:30:00,2023,10,5,20,30,1,1.047352152,1.047352152,16.73266667,16.73266667
2023-10-05T20:35:00,2023,10,5,20,35,2,0.734413276,0.734413276,16.724,16.724
2023-10-05T20:40:00,2023,10,5,20,40,3,1.150168745,1.150168745,16.713,16.713
2023-10-05T20:45:00,2023,10,5,20,45,4,0.518133316,0.518133316,16.70366667,16.70366667
2023-10-05T20:50:00,2023,10,5,20,50,5,0.71459176,0.71459176,16.69466667,16.69466667
2023-10-05T20:55:00,2023,10,5,20,55,6,0.940075197,0.940075197,16.685,16.685
2023-10-05T21:00:00,2023,10,5,21,0,1,1.152428018,1.152428018,16.67466667,16.67466667
2023-10-05T21:05:00,2023,10,5,21,5,2,0.705230897,0.705230897,16.665,16.665
2023-10-05T21:10:00,2023,10,5,21,10,3,1.181709355,1.181709355,16.656,16.656
2023-10-05T21:15:00,2023,10,5,21,15,4,0.598354821,0.598354821,16.644,16.644
2023-10-05T21:20:00,2023,10,5,21,20,5,0.68345637,0.68345637,16.63466667,16.63466667
2023-10-05T21:25:00,2023,10,5,21,25,6,0.994869311,0.994869311,16.623,16.623
2023-10-05T21:30:00,2023,10,5,21,30,1,1.186377594,1.186377594,16.615,16.615
2023-10-05T21:35:00,2023,10,5,21,35,2,0.68511658,0.68511658,16.60333333,16.60333333
2023-10-05T21:40:00,2023,10,5,21,40,3,1.265069767,1.265069767,16.59266667,16.59266667
2023-10-05T21:45:00,2023,10,5,21,45,4,0.549668378,0.549668378,16.58166667,16.58166667
2023-10-05T21:50:00,2023,10,5,21,50,5,0.66275079,0.66275079,16.57133333,16.57133333
2023-10-05T21:55:00,2023,10,5,21,55,6,0.961595541,0.961595541,16.563,16.563
2023-10-05T22:00:00,2023,10,5,22,0,1,1.107334249,1.107334249,16.552,16.552
2023-10-05T22:05:00,2023,10,5,22,5,2,0.716561996,0.716561996,16.54466667,16.54466667
2023-10-05T22:10:00,2023,10,5,22,10,3,1.138799404,1.138799404,16.53266667,16.53266667
2023-10-05T22:15:00,2023,10,5,22,15,4,0.571306698,0.571306698,16.523,16.523
